level_id,attempts,users,attempt_win_rate,first_attempt_win_rate,avg_attempt,median_attempt,avg_playtime,revive_rate,avg_unsolved_items,avg_move,failed_attempts,retries_after_fail,retry_after_fail_rate,users_reached,users_reached_next,dropoff_rate,is_priority
1,12194,12029,0.9985,0.9985,1.0,1.0,9.53,0.0,0.0,1.09,18,6,0.3333,11775.0,12020.0,-0.0208,False
2,12327,11964,0.9822,0.9915,1.0,1.0,10.09,0.0,0.01,2.05,220,207,0.9409,12020.0,11928.0,0.0077,False
3,12330,11872,0.9719,0.9784,1.02,1.0,13.49,0.0,0.06,3.33,346,309,0.8931,11928.0,11828.0,0.0084,False
4,11942,11777,0.9965,0.997,1.01,1.0,17.5,0.0,0.01,6.32,42,36,0.8571,11828.0,11745.0,0.007,False
5,11771,11611,0.9971,0.9977,1.01,1.0,39.65,0.0,0.01,13.52,34,30,0.8824,11745.0,11562.0,0.0156,False
6,11591,11432,0.9972,0.9975,1.02,1.0,41.55,0.0,0.01,13.77,33,29,0.8788,11562.0,11406.0,0.0135,False
7,11390,11228,0.9975,0.9979,1.02,1.0,62.87,0.0,0.01,19.46,28,26,0.9286,11406.0,11255.0,0.0132,False
8,11172,10991,0.9961,0.9971,1.03,1.0,45.67,0.0006,0.02,14.36,44,42,0.9545,11255.0,10965.0,0.0258,False
9,11056,10697,0.9787,0.9797,1.05,1.0,54.75,0.0092,0.12,16.43,235,219,0.9319,10965.0,10666.0,0.0273,False
10,10716,10476,0.9888,0.9931,1.05,1.0,67.6,0.0004,0.08,21.27,120,110,0.9167,10666.0,10448.0,0.0204,False
11,10363,10205,0.9965,0.9973,1.03,1.0,68.43,0.0,0.02,21.6,36,31,0.8611,10448.0,10216.0,0.0222,False
12,10109,9962,0.9982,0.9988,1.04,1.0,85.96,0.0,0.01,24.52,18,11,0.6111,10216.0,9944.0,0.0266,False
13,9880,9708,0.996,0.9962,1.04,1.0,72.99,0.0001,0.03,24.12,40,36,0.9,9944.0,9705.0,0.024,False
14,9828,9548,0.9843,0.985,1.04,1.0,91.62,0.0122,0.12,27.52,154,146,0.9481,9705.0,9448.0,0.0265,False
15,9557,9402,0.9987,0.9987,1.01,1.0,68.51,0.0004,0.01,20.65,12,12,1.0,9448.0,9335.0,0.012,False
16,9831,9205,0.9451,0.9515,1.09,1.0,77.67,0.0366,0.42,25.15,540,505,0.9352,9335.0,9081.0,0.0272,False
17,9153,9011,0.9977,0.9982,1.02,1.0,72.25,0.001,0.02,25.29,21,21,1.0,9081.0,8956.0,0.0138,False
18,9088,8907,0.9928,0.9953,1.03,1.0,79.2,0.0042,2.07,26.32,65,60,0.9231,8956.0,8839.0,0.0131,False
